user1,mean
123033,2
123234,3
123343,2
123412,3
124060,2
124210,2
124271,2
124515,3
124606,3
124716,3
124729,3
124774,3
125262,3
125267,3
125440,3
125493,2
125668,3
126106,3
126613,2
126632,3
128463,3
128707,3
128853,3
129117,3
129269,3
129624,2
129727,3
129732,2
129965,3
130101,2
130213,2
130217,3
130256,3
130477,2.916666667
130563,3
130589,3
130787,3
130816,2
131799,3
132537,3
132543,3
132821,3
132827,3
133051,2
133246,3
133318,3
133441,3
133763,2
134409,3
134646,2
134697,2
135243,2
135937,2
135970,3
136152,3
136350,2
136666,2
136675,2
136944,3
137278,3
137381,3
137541,3
137629,2
137735,3
137901,2
138046,2
138087,3
138320,2.944444444
138452,3
138485,2
138528,3
138664,3
138759,3
138848,2
138903,3
138916,3
138939,3
139107,3
139211,3
139233,3
139505,2
139584,3
139739,2
139748,2
139818,3
139829,2
140424,3
140760,3
141000,3
141128,3
141193,3
141484,3
141624,3
142368,2
142391,3
142685,2
143623,2
143660,3
143871,3
144117,2
144438,3
144669,3
145000,3
145074,2
145102,2
145369,3
145641,3
145790,3
146229,3
147000,3
147164,2
147400,3
147623,3
147671,2
148055,3
148135,3
148487,2
148622,3
149373,3
149382,2
149690,3
150230,3
150373,3
150419,3
150426,2
151494,3
151502,2
151584,2
151817,2.958333333
151987,3
152320,3
152398,2
152432,2
152613,3
153173,2
153803,2
153883,3
153966,2
154139,2.916666667
154394,3
154453,2
154589,3
154610,2
154922,2
155199,3
155206,3
155490,3
155724,2.964285714
156350,3
156370,2
156434,3
156730,3
156848,2
156860,3
157085,2
157230,3
157420,3
157438,3
157573,3
157758,3
157813,2
158249,2
158336,2
158514,3
158838,2
158905,3
159040,3
159518,2
159737,3
160015,3
160156,3
160962,3
161018,2
161151,2
161420,2
161454,3
161471,3
161608,2.833333333
161841,3
161857,3
162078,3
162373,3
162428,3
162442,3
162455,3
163586,3
163602,3
163731,3
163739,3
163927,2
164042,2
164150,3
164300,3
164979,3
165124,3
165209,3
165324,3
165458,2.916666667
165807,3
165874,3
