,price,city,neighborhood,state,price_comparison_available,price_comparison_position,has_good_price,whatsapp_available,whatsapp_integration_available,new_wording_free,available_consumer_credit,has_seller_level_kyc,has_highlighted_sale_specs,verified,BRAND,MODEL,VEHICLE_YEAR
71,11880.0,Pilar,La Lonja,Bs.As. G.B.A. Norte,True,0.08,False,True,False,True,False,True,True,FALSE,Chevrolet,Spin,2016
72,24640.0,Pilar,La Lonja,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,Corolla,2015
73,16500.0,Pilar,Tortugas,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Peugeot,308,2020
74,22900.0,Pilar,Tortugas,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Ford,Ranger,2015
75,23500.0,CÃ³rdoba,Bajo GalÃ¡n,CÃ³rdoba,True,0.92,False,True,False,True,False,True,True,FALSE,Honda,HR-V,2020
76,31900.0,Pilar,Tortugas,Bs.As. G.B.A. Norte,False,,False,True,False,True,False,True,True,FALSE,Toyota,Land Cruiser,2003
77,39900.0,Pilar,Pilar,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,Corolla Cross,2023
78,52900.0,Pilar,Pilar,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Peugeot,5008,2023
79,8247.0,Rosario,Centro,Santa Fe,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,Etios,2015
80,17401.0,Rosario,Centro,Santa Fe,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,Corolla,2019
81,20000.0,Rosario,Centro,Santa Fe,True,0.85,False,True,False,True,False,True,True,FALSE,Volkswagen,Golf,2018
82,5935.0,Rosario,Centro,Santa Fe,True,0.92,False,True,False,True,False,True,True,FALSE,Ford,Ecosport,2011
83,16000.0,Rosario,Centro,Santa Fe,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,Corolla,2019
84,61000.0,Rosario,Centro,Santa Fe,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,Hiace,2022
85,7985.0,Rosario,Centro,Santa Fe,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,Etios,2013
86,5700.0,Rosario,Centro,Santa Fe,True,0.92,False,True,False,True,False,True,True,FALSE,Renault,Clio,2014
87,7866.0,Rosario,Centro,Santa Fe,True,0.08,False,True,False,True,False,True,True,FALSE,Volkswagen,Voyage,2016
88,7985.0,Rosario,Centro,Santa Fe,True,0.92,False,True,False,True,False,True,True,FALSE,Ford,Fiesta Kinetic Design,2015
